Joao,45,321.654.987.10,99887766,convenio,hipertensao,true
Mariana,32,456.123.789.22,88776655,particular,asma,false
Carlos,60,789.456.123.33,77665544,convenio,diabetes,true
Fernanda,27,159.357.258.44,66554433,convenio,nenhum,false
Ricardo,51,951.753.852.55,55443322,particular,colesterol alto,true
Patricia,38,258.147.369.66,44332211,convenio,enxaqueca,false
Lucas,19,147.258.369.77,33221100,convenio,nenhum,false
Camila,73,369.258.147.88,22110099,particular,arritmia,true
Eduardo,41,741.852.963.99,11009988,convenio,gastrite,false
Beatriz,29,852.963.741.00,10998877,particular,alergia,false
